,dmdtda
5362,-0.9026
5247,0.2924
5986,-0.2364
1266,0.11
1372,-0.257
5444,-0.8591999999999999
2443,0.2433
4215,-0.114
6772,-0.6412
3725,-0.1428
815,-0.9581
2628,-0.1474
1325,0.31
5922,-1.0075
5262,-0.3883
3205,0.1006999999999999
633,-0.068
5340,-2.832
1864,-0.7169
68,-0.1774
557,-0.6529
1150,-0.4103
453,-0.0987
5527,-0.6797
2536,-0.4864
4263,-0.542
6583,0.1899
3658,-0.8690999999999999
3021,0.1455
3115,-0.3828
5441,-0.6785
1422,-0.3699
6044,-0.4587719762258563
1904,-0.4965
4558,-0.0565
6389,-1.4424
2953,-0.0438
4186,-0.6839
1525,-0.1026
2318,-0.3602
406,-0.2368999999999999
819,-0.3464
4715,-1.0049
784,-0.2611
3185,-0.3454
6779,0.1336
89,-0.682
2013,-1.1512
669,-0.7158
942,-0.1119
6530,-0.3163
6666,-0.2913
3991,-0.3862
4396,-0.5141
5156,-0.6328
5508,-0.125
179,-0.7472
4445,0.0853
3457,-0.2521
5546,-0.6641
2540,-0.2936
2551,-0.6578
4021,-0.6844
2702,-0.6612
3869,-0.1431
6185,-0.1407
2806,-0.2852
886,-0.9511
1425,-0.2432
2946,-0.0165
5381,-0.3383
6571,-1.1614
2299,-0.5759
66,-0.9517
4061,-0.4958999999999999
2406,-0.4535
4523,-0.373
6561,-0.4145
889,-0.0955
3479,0.0888
1369,-0.1776
604,-0.3282
4099,-0.0693
5250,-0.0484
4430,-0.5499
3827,-0.1682
3719,-0.6435
3254,-0.807
1138,-0.0295
1271,0.0977
5664,-0.2565
4620,0.0653
140,-0.1222
6745,-0.6962
6711,-0.3617
644,-0.6742
5907,-0.2587
1671,-0.3002
4161,0.058
